timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1716728040000,68968.27000000,68980.00000000,68968.27000000,68979.99000000,18.73288000,1716728099999,1292010.19813970,488,17.08969000,1178669.69494740,0
1716728100000,68980.00000000,68980.00000000,68979.99000000,68980.00000000,3.86743000,1716728159999,266775.29136510,412,0.86394000,59594.58120000,0
1716728160000,68980.00000000,68980.00000000,68979.99000000,68980.00000000,0.86692000,1716728219999,59800.13917530,264,0.62445000,43074.56100000,0
1716728220000,68980.00000000,68980.44000000,68979.99000000,68980.44000000,4.69199000,1716728279999,323654.08621900,346,3.46265000,238853.80693400,0
1716728280000,68980.43000000,68996.73000000,68980.43000000,68996.72000000,3.09049000,1716728339999,213205.28238680,306,2.19955000,151741.28728840,0
1716728340000,68996.73000000,69002.17000000,68993.21000000,68993.22000000,8.44425000,1716728399999,582635.32438680,468,2.28470000,157638.87231920,0
1716728400000,68993.21000000,68996.00000000,68993.21000000,68995.92000000,9.14726000,1716728459999,631113.62617100,482,4.56591000,315020.43015170,0
1716728460000,68995.92000000,68995.93000000,68995.92000000,68995.92000000,7.31113000,1716728519999,504438.17935930,376,3.87697000,267495.15073210,0
1716728520000,68995.93000000,69011.68000000,68995.92000000,69011.67000000,9.92667000,1716728579999,684977.54066030,484,5.66409000,390843.50915090,0
1716728580000,69011.68000000,69011.68000000,68994.00000000,68994.00000000,7.64829000,1716728639999,527769.33134340,613,1.69595000,117026.29297700,0
1716728640000,68994.01000000,69011.34000000,68994.00000000,68994.59000000,12.64375000,1716728699999,872433.49770320,453,6.54336000,451488.75366180,0
1716728700000,68994.59000000,68994.59000000,68984.01000000,68984.02000000,6.35069000,1716728759999,438120.22029270,326,0.61622000,42510.06478810,0
1716728760000,68984.02000000,68984.02000000,68977.06000000,68977.07000000,9.01258000,1716728819999,621702.25393100,481,0.29705000,20490.54241200,0
1716728820000,68977.06000000,68977.07000000,68977.06000000,68977.07000000,5.51015000,1716728879999,380073.95690920,328,0.97502000,67254.02279140,0
1716728880000,68977.07000000,68977.07000000,68970.01000000,68970.02000000,11.07704000,1716728939999,764046.47008490,575,6.58854000,454451.26747500,0
1716728940000,68970.01000000,68974.77000000,68970.01000000,68974.76000000,4.79390000,1716728999999,330647.76759310,344,3.19161000,220130.49692960,0
1716729000000,68974.77000000,68974.77000000,68970.00000000,68970.01000000,5.67441000,1716729059999,391378.00800860,392,0.27308000,18834.83477240,0
1716729060000,68970.00000000,68973.57000000,68969.51000000,68973.56000000,9.58018000,1716729119999,660751.51643600,451,5.81402000,400994.33743680,0
1716729120000,68973.56000000,68973.57000000,68965.97000000,68965.98000000,6.46413000,1716729179999,445832.42385290,1704,2.30695000,159111.50832070,0
1716729180000,68965.97000000,68973.31000000,68965.97000000,68970.69000000,7.17975000,1716729239999,495185.18138490,412,4.57384000,315448.97207420,0
1716729240000,68970.69000000,68970.69000000,68966.63000000,68966.63000000,7.26672000,1716729299999,501173.11614060,2427,2.28261000,157431.88017090,0
1716729300000,68966.64000000,68966.64000000,68965.97000000,68965.97000000,2.31638000,1716729359999,159751.73344990,476,0.37749000,26033.97658140,0
1716729360000,68965.98000000,68977.80000000,68965.97000000,68977.80000000,6.29784000,1716729419999,434356.28879670,340,5.53361000,381645.27153080,0
1716729420000,68977.79000000,68977.80000000,68977.79000000,68977.80000000,2.52050000,1716729479999,173858.52104970,304,0.13547000,9344.42256600,0
1716729480000,68977.79000000,68982.78000000,68977.79000000,68982.78000000,7.79142000,1716729539999,537471.56383950,292,6.16502000,425278.22557120,0
1716729540000,68982.77000000,69000.00000000,68982.77000000,69000.00000000,3.06034000,1716729599999,211141.16409500,323,2.53358000,174799.45872080,0
1716729600000,69000.00000000,69004.50000000,68999.99000000,69004.50000000,2.19722000,1716729659999,151616.32578030,234,1.61199000,111232.85856260,0
1716729660000,69004.49000000,69008.25000000,69004.49000000,69008.24000000,2.52772000,1716729719999,174425.39206940,219,1.95663000,135017.53928830,0
1716729720000,69008.25000000,69011.68000000,69008.24000000,69011.68000000,4.28641000,1716729779999,295811.75512010,368,2.67135000,184353.79064140,0
1716729780000,69011.68000000,69064.00000000,69011.67000000,69045.11000000,28.31444000,1716729839999,1954839.32024090,981,17.03255000,1175723.09246070,0
1716729840000,69045.10000000,69053.89000000,69045.10000000,69053.89000000,3.59144000,1716729899999,247977.49554120,257,3.07675000,212439.48980580,0
1716729900000,69053.89000000,69053.89000000,69050.90000000,69050.91000000,4.81807000,1716729959999,332706.05537290,294,1.04477000,72145.31516680,0
1716729960000,69050.91000000,69050.91000000,69036.67000000,69036.67000000,6.36344000,1716730019999,439362.14846720,679,0.98588000,68066.06220870,0
1716730020000,69036.68000000,69036.68000000,69020.00000000,69020.00000000,6.91435000,1716730079999,477280.75929700,720,1.41266000,97505.38349710,0
1716730080000,69020.01000000,69020.01000000,69012.00000000,69014.00000000,4.35848000,1716730139999,300799.07240840,310,2.20234000,151989.56884750,0
1716730140000,69014.01000000,69035.99000000,69014.00000000,69035.98000000,4.83709000,1716730199999,333889.16137100,312,4.41567000,304796.17231960,0
1716730200000,69035.99000000,69035.99000000,69035.98000000,69035.99000000,3.27926000,1716730259999,226386.93348420,289,0.57094000,39415.40813060,0
1716730260000,69035.99000000,69050.55000000,69035.98000000,69050.55000000,4.84424000,1716730319999,334457.96703230,321,2.36023000,162951.17261600,0
1716730320000,69050.55000000,69053.89000000,69050.54000000,69053.89000000,2.20739000,1716730379999,152421.89914580,259,1.91687000,132361.10715050,0
1716730380000,69053.89000000,69056.77000000,69044.00000000,69044.16000000,8.39750000,1716730439999,579848.38088550,484,4.16295000,287442.91047980,0
1716730440000,69044.17000000,69052.00000000,69044.16000000,69052.00000000,3.77918000,1716730499999,260947.03108550,248,2.87947000,198823.71733410,0
1716730500000,69051.99000000,69052.40000000,69051.99000000,69052.39000000,5.84805000,1716730559999,403819.58020950,230,1.20940000,83511.50496400,0
1716730560000,69052.40000000,69063.67000000,69052.39000000,69063.66000000,8.24322000,1716730619999,569252.34290870,518,6.67363000,460852.89495930,0
1716730620000,69063.66000000,69063.66000000,69041.21000000,69041.22000000,14.22805000,1716730679999,982466.79386410,513,0.84154000,58104.71896480,0
1716730680000,69041.22000000,69041.22000000,69004.01000000,69004.01000000,6.28634000,1716730739999,433900.27351120,1496,0.90343000,62359.41950240,0
1716730740000,69004.02000000,69004.02000000,68984.34000000,68984.34000000,3.65043000,1716730799999,251851.16380420,451,0.78724000,54310.35539260,0
1716730800000,68984.35000000,68984.35000000,68976.91000000,68976.92000000,4.30528000,1716730859999,296973.17187750,644,1.06617000,73541.48755640,0
1716730860000,68976.92000000,68976.92000000,68950.00000000,68953.33000000,8.77701000,1716730919999,605267.15567340,831,2.91750000,201182.03992430,0
1716730920000,68953.32000000,68983.07000000,68953.32000000,68983.07000000,5.02754000,1716730979999,346722.71712720,361,4.25629000,293532.20594680,0
1716730980000,68983.07000000,68988.17000000,68983.06000000,68987.46000000,4.27665000,1716731039999,295033.25595420,298,1.37035000,94533.17973110,0
1716731040000,68987.45000000,68987.46000000,68983.06000000,68983.07000000,2.96608000,1716731099999,204611.34653950,279,0.65951000,45495.20562670,0
1716731100000,68983.06000000,68983.07000000,68956.01000000,68980.50000000,5.52554000,1716731159999,381083.10101550,589,2.90276000,200189.77551880,0
1716731160000,68980.50000000,69001.13000000,68980.50000000,69001.12000000,3.76900000,1716731219999,260031.29403400,381,3.41519000,235620.04795230,0
